// JobID,Weight,HPFactor,HPMultiplicator,SPFactor,Unarmed,Dagger,1HSword,2HSword,1HSpear,2HSpear,1HAxe,2HAxe,1HMace,2HMace(unused),Rod,Bow,Knuckle,Instrument,Whip,Book,Katar,Revolver,Rifle,Gatling Gun,Shotgun,Grenade Launcher,Fuuma Shuriken,2HStaff,Shield
0,20000,0,500,100,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
1,28000,70,500,200,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
2,22000,30,500,600,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
3,26000,50,500,200,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4,24000,40,500,500,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
5,28000,40,500,300,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
6,24000,50,500,200,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
7,28000,150,500,300,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
8,26000,75,500,800,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
9,24000,55,500,900,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
10,30000,90,500,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
11,27000,85,500,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
12,24000,110,500,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
13,28000,150,500,300,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
14,28000,110,700,470,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
15,26000,90,650,470,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
16,24000,75,500,700,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
17,24000,85,500,500,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
18,30000,90,500,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
19,27000,75,300,600,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
20,27000,75,300,600,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
21,28000,110,700,470,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
22,20000,0,500,100,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
23,20000,0,500,100,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
